cell,rotation,estimate
541557114,0,1.7182229679964164e-05
541557114,10,1.2416747289206399e-05
541557114,100,6.992178336889061e-05
541557114,110,6.222232920858752e-05
541557114,120,4.0947011491164566e-05
541557114,130,3.196196741635878e-05
541557114,140,2.6721797382553497e-05
541557114,150,2.348882648800949e-05
541557114,160,1.0755924145975448e-05
541557114,170,3.82820007303414e-06
541557114,180,2.1380764947420797e-05
541557114,190,4.7259385741642556e-05
541557114,20,3.113787420211583e-05
541557114,200,6.798279155936516e-05
541557114,210,8.71725412970624e-05
541557114,220,0.00010838824163396627
541557114,230,0.00013345685957767852
541557114,240,0.00015140063701069264
541557114,250,0.0001687313454275316
541557114,260,0.00018579231865445623
541557114,270,0.00018662525794875182
541557114,280,0.000175980073792815
541557114,290,0.00016709385519625623
541557114,30,4.223124882478061e-05
541557114,300,0.00014131132386707986
541557114,310,0.00012560211186567053
541557114,320,0.0001106969321989214
541557114,330,9.618233493241829e-05
541557114,340,7.083966878686648e-05
541557114,350,4.373372437187758e-05
541557114,40,5.2579157698306385e-05
541557114,50,6.559093848254328e-05
541557114,60,7.092167541507117e-05
541557114,70,7.726036078995485e-05
541557114,80,8.60418218625433e-05
541557114,90,8.241524398227197e-05
569835804,0,3.17504860196906e-05
569835804,10,2.9437942712599626e-05
569835804,100,1.0344555020908987e-05
569835804,110,1.531717321771062e-05
569835804,120,1.8360987822546015e-05
569835804,130,1.960880091141966e-05
569835804,140,2.1187933792884548e-05
569835804,150,2.2660902034955502e-05
569835804,160,2.4087764678706746e-05
569835804,170,2.3093090279742968e-05
569835804,180,2.1416177961487092e-05
569835804,190,1.9363731225733837e-05
569835804,20,2.6878917952638356e-05
569835804,200,1.7360869328807125e-05
569835804,210,1.4427769028296575e-05
569835804,220,1.347073369094156e-05
569835804,230,1.326816429187193e-05
569835804,240,1.08398310868401e-05
569835804,250,6.350556765081071e-06
569835804,260,6.796775434423003e-06
569835804,270,1.3543945950163538e-05
569835804,280,1.8694478972766784e-05
569835804,290,2.4005013169669475e-05
569835804,30,2.3474490861843846e-05
569835804,300,2.759512483777092e-05
569835804,310,2.930624617677954e-05
