cell,rotation,estimate
541557114,0,2.1059597568460016e-05
541557114,10,5.784506622107634e-06
541557114,100,7.171598666069199e-05
541557114,110,6.752042162721367e-05
541557114,120,4.889801173906765e-05
541557114,130,3.8344482885817653e-05
541557114,140,3.005030612283012e-05
541557114,150,2.283105268518215e-05
541557114,160,9.148082852675961e-06
541557114,170,5.981445088577881e-06
541557114,180,2.3120687366583135e-05
541557114,190,4.639026498082559e-05
541557114,20,2.3539935797819046e-05
541557114,200,6.639071456862517e-05
541557114,210,8.559064465941403e-05
541557114,220,0.00010672413391691086
541557114,230,0.00013271307915261815
541557114,240,0.00015035375211724605
541557114,250,0.00016861465621601272
541557114,260,0.0001882354201142349
541557114,270,0.00018922611324102796
541557114,280,0.00017900589283979812
541557114,290,0.00017322080578776678
541557114,30,3.4562178603153404e-05
541557114,300,0.0001504335410870832
541557114,310,0.00013406616409141484
541557114,320,0.00011704820951252549
541557114,330,9.957972409016501e-05
541557114,340,7.402344523094462e-05
541557114,350,4.695201029630677e-05
541557114,40,4.522061830224525e-05
541557114,50,5.98748846226374e-05
541557114,60,6.577455453511105e-05
541557114,70,7.36935615683126e-05
541557114,80,8.630170825048156e-05
541557114,90,8.346085109030266e-05
569835804,0,3.164432502485536e-05
569835804,10,2.9772417124687817e-05
569835804,100,9.543957456475884e-06
569835804,110,1.451714933475111e-05
569835804,120,1.756198420013427e-05
569835804,130,1.884728650583023e-05
569835804,140,2.0428107944667526e-05
569835804,150,2.1944878253351007e-05
569835804,160,2.3409170076965392e-05
569835804,170,2.2727106170852957e-05
569835804,180,2.1309901740806142e-05
569835804,190,1.9696065643986163e-05
569835804,20,2.725697836203263e-05
569835804,200,1.773350590933966e-05
569835804,210,1.4964435112969761e-05
569835804,220,1.4122603731648561e-05
569835804,230,1.4000216400391548e-05
569835804,240,1.1612898239551866e-05
569835804,250,7.1224450919174485e-06
569835804,260,6.0256572938245634e-06
569835804,270,1.2773168272662863e-05
569835804,280,1.7923601769732085e-05
569835804,290,2.3233601199174942e-05
569835804,30,2.4021421482305813e-05
569835804,300,2.6822755081882743e-05
569835804,310,2.856704510863081e-05
569835804,320,3.054333384167876e-05
569835804,330,3.236683925722463e-05
569835804,340,3.394741071116112e-05
569835804,350,3.296704019195159e-05
569835804,40,2.245574963073656e-05
569835804,50,2.1726625977921636e-05
569835804,60,1.9059373287896994e-05
569835804,70,1.4522998898422503e-05
